batch_size,microbatch_size,num_microbatches,pulp_split,mem_limits,data_split,predicted_ms,measured_ms,error_pct
64,16,4,17/8/7,17/8/8,15/9/8,49227.5,139773.8,-64.8
64,8,8,17/8/7,17/8/8,15/9/8,98455.1,217016.9,-54.6
32,16,2,25/6/1,25/12/12,15/10/7,22121.2,69681.0,-68.3
32,8,4,25/6/1,25/12/12,15/10/7,44242.5,109210.9,-59.5
32,4,8,25/6/1,25/12/12,15/10/7,88484.9,193829.2,-54.3
32,16,2,25/6/1,25/12/12,15/11/6,22121.2,69899.3,-68.4
32,8,4,25/6/1,25/12/12,15/11/6,44242.5,109380.4,-59.6
32,4,8,25/6/1,25/12/12,15/11/6,88484.9,194566.3,-54.5
32,16,2,25/6/1,25/12/12,15/12/5,22121.2,69697.8,-68.3
32,8,4,25/6/1,25/12/12,15/12/5,44242.5,109182.4,-59.5
32,4,8,25/6/1,25/12/12,15/12/5,88484.9,193936.1,-54.4
32,16,2,25/6/1,25/12/12,16/4/12,22121.2,68751.8,-67.8
32,8,4,25/6/1,25/12/12,16/4/12,44242.5,107938.5,-59.0
32,4,8,25/6/1,25/12/12,16/4/12,88484.9,191847.3,-53.9
32,16,2,25/6/1,25/12/12,16/5/11,22121.2,68889.6,-67.9
32,8,4,25/6/1,25/12/12,16/5/11,44242.5,107930.8,-59.0
32,4,8,25/6/1,25/12/12,16/5/11,88484.9,192021.8,-53.9
32,16,2,25/6/1,25/12/12,16/6/10,22121.2,68721.8,-67.8
32,8,4,25/6/1,25/12/12,16/6/10,44242.5,107929.0,-59.0
32,4,8,25/6/1,25/12/12,16/6/10,88484.9,191710.1,-53.8
32,16,2,25/6/1,25/12/12,16/7/9,22121.2,68835.9,-67.9
32,8,4,25/6/1,25/12/12,16/7/9,44242.5,107857.6,-59.0
32,4,8,25/6/1,25/12/12,16/7/9,88484.9,191375.3,-53.8
64,32,2,17/8/7,17/8/8,16/7/9,24613.8,104764.0,-76.5
64,16,4,17/8/7,17/8/8,16/7/9,49227.5,137906.2,-64.3
64,8,8,17/8/7,17/8/8,16/7/9,98455.1,214591.4,-54.1
32,16,2,25/6/1,25/12/12,16/8/8,22121.2,68694.6,-67.8
32,8,4,25/6/1,25/12/12,16/8/8,44242.5,107633.5,-58.9
32,4,8,25/6/1,25/12/12,16/8/8,88484.9,191361.2,-53.8
64,32,2,17/8/7,17/8/8,16/8/8,24613.8,104384.1,-76.4
64,16,4,17/8/7,17/8/8,16/8/8,49227.5,137780.7,-64.3
64,8,8,17/8/7,17/8/8,16/8/8,98455.1,215285.7,-54.3
32,16,2,25/6/1,25/12/12,16/9/7,22121.2,68677.1,-67.8
32,8,4,25/6/1,25/12/12,16/9/7,44242.5,107724.0,-58.9
32,4,8,25/6/1,25/12/12,16/9/7,88484.9,192275.1,-54.0
64,32,2,17/8/7,17/8/8,16/9/7,24613.8,104500.0,-76.4
64,16,4,17/8/7,17/8/8,16/9/7,49227.5,137742.1,-64.3
64,8,8,17/8/7,17/8/8,16/9/7,98455.1,215125.9,-54.2
32,16,2,25/6/1,25/12/12,16/10/6,22121.2,68775.8,-67.8
32,8,4,25/6/1,25/12/12,16/10/6,44242.5,108095.4,-59.1
32,4,8,25/6/1,25/12/12,16/10/6,88484.9,189985.4,-53.4
32,16,2,25/6/1,25/12/12,16/11/5,22121.2,68728.7,-67.8
32,8,4,25/6/1,25/12/12,16/11/5,44242.5,107829.1,-59.0
32,4,8,25/6/1,25/12/12,16/11/5,88484.9,192026.2,-53.9
32,16,2,25/6/1,25/12/12,16/12/4,22121.2,68803.5,-67.8
32,8,4,25/6/1,25/12/12,16/12/4,44242.5,108145.8,-59.1
32,4,8,25/6/1,25/12/12,16/12/4,88484.9,191659.5,-53.8
32,16,2,25/6/1,25/12/12,17/3/12,22121.2,67776.2,-67.4
32,8,4,25/6/1,25/12/12,17/3/12,44242.5,106527.0,-58.5
32,4,8,25/6/1,25/12/12,17/3/12,88484.9,189975.6,-53.4
32,16,2,25/6/1,25/12/12,17/4/11,22121.2,67783.9,-67.4
32,8,4,25/6/1,25/12/12,17/4/11,44242.5,106446.2,-58.4
32,4,8,25/6/1,25/12/12,17/4/11,88484.9,188948.8,-53.2
32,16,2,25/6/1,25/12/12,17/5/10,22121.2,67721.9,-67.3
32,8,4,25/6/1,25/12/12,17/5/10,44242.5,106363.5,-58.4
32,4,8,25/6/1,25/12/12,17/5/10,88484.9,189747.5,-53.4
32,16,2,25/6/1,25/12/12,17/6/9,22121.2,67863.2,-67.4
32,8,4,25/6/1,25/12/12,17/6/9,44242.5,106227.0,-58.4
32,4,8,25/6/1,25/12/12,17/6/9,88484.9,190131.2,-53.5
64,32,2,17/8/7,17/8/8,17/6/9,24613.8,103227.5,-76.2
64,16,4,17/8/7,17/8/8,17/6/9,49227.5,136255.5,-63.9
64,8,8,17/8/7,17/8/8,17/6/9,98455.1,211635.6,-53.5
32,16,2,25/6/1,25/12/12,17/7/8,22121.2,67875.9,-67.4
32,8,4,25/6/1,25/12/12,17/7/8,44242.5,106432.7,-58.4
32,4,8,25/6/1,25/12/12,17/7/8,88484.9,189290.3,-53.3
