20gb,10gb,5gb,5gb,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_gi5gb_mb,avg_gi5gb_mb,total_latency_ms,status
11,11,6,4,64,2,32,512,2490,1789,,timeout
11,12,3,6,32,16,2,512,4750,2440,94550.3359375,ok
11,12,3,6,32,8,4,512,4834,2404,147668.734375,ok
11,12,3,6,32,4,8,512,3266,2051,258659.953125,ok
11,12,3,6,32,2,16,512,1300,1007,,timeout
11,12,3,6,64,32,2,512,4822,2332,,OOM_rank3
11,12,3,6,64,16,4,512,4600,2411,,OOM_rank3
11,12,3,6,64,8,8,512,4324,2302,,OOM_rank3
11,12,3,6,64,4,16,512,1348,1018,,timeout
11,12,3,6,64,2,32,512,1332,1022,,timeout
11,12,4,5,32,16,2,512,4832,2907,94443.7734375,ok
11,12,4,5,32,8,4,512,4630,2922,147781.53125,ok
11,12,4,5,32,4,8,512,4292,2674,258044.6875,ok
11,12,4,5,32,2,16,512,1686,1266,,timeout
11,12,4,5,64,32,2,512,4788,2923,,OOM_rank1
11,12,4,5,64,16,4,512,4690,2963,,OOM_rank1
11,12,4,5,64,8,8,512,4790,2908,,OOM_rank1
11,12,4,5,64,4,16,512,1734,1309,,timeout
11,12,4,5,64,2,32,512,1718,1262,,timeout
11,12,5,4,32,16,2,512,4826,3163,94207.71875,ok
11,12,5,4,32,8,4,512,4842,3262,148908.53125,ok
11,12,5,4,32,4,8,512,4598,3124,258617.0625,ok
11,12,5,4,32,2,16,512,2072,1504,,timeout
11,12,5,4,64,32,2,512,4838,3277,,OOM_rank1
11,12,5,4,64,16,4,512,4840,3258,,OOM_rank1
11,12,5,4,64,8,8,512,4520,3319,,OOM_rank1
11,12,5,4,64,4,16,512,2120,1536,,timeout
11,12,5,4,64,2,32,512,2104,1548,,timeout
11,12,6,3,32,16,2,512,4854,3461,94274.3984375,ok
11,12,6,3,32,8,4,512,4854,3474,147489.109375,ok
11,12,6,3,32,4,8,512,4764,3589,257544.859375,ok
11,12,6,3,32,2,16,512,2458,1764,,timeout
11,12,6,3,64,32,2,512,4854,3507,,OOM_rank2
11,12,6,3,64,16,4,512,4858,3654,,OOM_rank2
11,12,6,3,64,8,8,512,4858,3808,,OOM_rank1
11,12,6,3,64,4,16,512,2506,1782,,timeout
11,12,6,3,64,2,32,512,2490,1791,,timeout
12,8,6,6,32,16,2,512,4854,3495,99550.8046875,ok
12,8,6,6,32,8,4,512,4864,3434,155697.71875,ok
12,8,6,6,32,4,8,512,4764,3573,273112.53125,ok
12,8,6,6,32,2,16,512,2458,1781,,timeout
12,8,6,6,64,32,2,512,4854,3368,,OOM_rank3
12,8,6,6,64,16,4,512,4840,3472,,OOM_rank3
12,8,6,6,64,8,8,512,4856,3622,,OOM_rank3
12,8,6,6,64,4,16,512,2506,1461,,timeout
12,8,6,6,64,2,32,512,2490,2038,,timeout
12,9,5,6,32,16,2,512,4826,3134,97404.1875,ok
12,9,5,6,32,8,4,512,4554,3180,152437.28125,ok
12,9,5,6,32,4,8,512,4598,3139,266437.78125,ok
12,9,5,6,32,2,16,512,2072,1578,,timeout
12,9,5,6,64,32,2,512,4834,3042,,OOM_rank3
12,9,5,6,64,16,4,512,4556,3065,,OOM_rank3
12,9,5,6,64,8,8,512,4520,3136,,OOM_rank3
12,9,5,6,64,4,16,512,2120,1570,,timeout
12,9,5,6,64,2,32,512,2104,1568,,timeout
12,9,6,5,32,16,2,512,4854,3473,97391.6875,ok
12,9,6,5,32,8,4,512,4858,3488,152562.328125,ok
12,9,6,5,32,4,8,512,4764,3593,265910.125,ok
12,9,6,5,32,2,16,512,2458,1792,,timeout
12,9,6,5,64,32,2,512,4854,3465,,OOM_rank2
12,9,6,5,64,16,4,512,4856,3648,,OOM_rank2
12,9,6,5,64,8,8,512,4856,3832,,OOM_rank2
12,9,6,5,64,4,16,512,2506,1798,,timeout
12,9,6,5,64,2,32,512,2490,1805,,timeout
12,10,4,6,32,16,2,512,4832,2883,95347.6171875,ok
12,10,4,6,32,8,4,512,4838,2915,149247.5,ok
12,10,4,6,32,4,8,512,4292,2671,261530.5625,ok
12,10,4,6,32,2,16,512,1686,1287,,timeout
12,10,4,6,64,32,2,512,4788,2718,,OOM_rank3
12,10,4,6,64,16,4,512,4690,2810,,OOM_rank3
12,10,4,6,64,8,8,512,4790,2796,,OOM_rank3
12,10,4,6,64,4,16,512,1734,1301,,timeout
12,10,4,6,64,2,32,512,1718,1303,,timeout
12,10,5,5,32,16,2,512,4856,3175,95209.9140625,ok
12,10,5,5,32,8,4,512,4554,3247,149283.1875,ok
12,10,5,5,32,4,8,512,4598,3135,261162.796875,ok
12,10,5,5,32,2,16,512,2072,1528,,timeout
12,10,5,5,64,32,2,512,4854,3526,,OOM_rank3
12,10,5,5,64,16,4,512,4848,3516,,OOM_rank3
12,10,5,5,64,8,8,512,4858,3613,,OOM_rank3
12,10,5,5,64,4,16,512,2120,1535,,timeout
12,10,5,5,64,2,32,512,2104,1542,,timeout
