20gb,10gb,5gb,5gb,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_rank0_20gb_mb,peak_rank1_10gb_mb,peak_rank2_5gb_mb,peak_rank3_5gb_mb,avg_rank0_20gb_mb,avg_rank1_10gb_mb,avg_rank2_5gb_mb,avg_rank3_5gb_mb,total_latency_ms,status
16,8,5,3,64,32,2,512,18598,9683,4528,3394,8698,4508,2713,1976,75649.9453125,ok
16,8,5,3,64,16,4,512,12216,6105,3830,2626,8031,4176,2652,1918,131961.859375,ok
16,8,5,3,64,8,8,512,10106,5029,3188,2246,8298,4203,2670,1931,244422.703125,ok
16,8,5,3,64,4,16,512,10354,5141,3252,2284,8448,4310,2732,1977,475339.625,ok
16,8,5,3,64,2,32,512,10826,5389,3404,2372,9018,4515,2848,2038,932350.3125,ok
16,8,5,3,32,16,2,512,9728,4841,3028,2144,6582,3484,2244,1666,66731.6171875,ok
16,8,5,3,32,8,4,512,8698,4311,2728,1982,7046,3621,2315,1711,123690.09375,ok
16,8,5,3,32,4,8,512,8818,4373,2752,2138,7518,3808,2413,1768,238384.796875,ok
16,8,5,3,32,2,16,512,9034,4477,2828,2138,7873,3951,2497,1818,464447.0,ok
16,8,5,3,16,8,2,512,7994,3965,2494,1882,6050,3216,2068,1552,62312.91796875,ok
16,8,5,3,16,4,4,512,8050,3989,2512,1882,6637,3429,2186,1623,120152.890625,ok
16,8,5,3,16,2,8,512,8138,4019,2540,2138,7099,3598,2276,1685,233264.953125,ok
16,8,5,3,8,4,2,512,7666,3797,2392,2138,5902,3141,2025,1523,60689.0859375,ok
16,8,5,3,8,2,4,512,7688,3793,2396,1882,6481,3353,2137,1592,117692.8046875,ok
16,9,4,3,64,32,2,512,18598,9673,4618,3422,8622,4933,2332,1962,73743.6953125,ok
16,9,4,3,64,16,4,512,12216,6845,3108,2626,8046,4625,2168,1915,128292.7578125,ok
16,9,4,3,64,8,8,512,10106,5625,2592,2246,8285,4680,2175,1930,239066.140625,ok
16,9,4,3,64,4,16,512,10354,5753,2640,2284,8664,4863,2249,1988,462976.59375,ok
16,9,4,3,64,2,32,512,10824,6033,2760,2370,9013,5042,2317,2037,906194.875,ok
16,9,4,3,32,16,2,512,9728,5421,2448,2144,6528,3836,1834,1655,65210.58984375,ok
16,9,4,3,32,8,4,512,8698,4825,2220,2138,6989,4010,1883,1704,120365.578125,ok
16,9,4,3,32,4,8,512,8818,4889,2236,2138,7487,4221,1962,1760,232402.671875,ok
16,9,4,3,32,2,16,512,9032,5009,2296,2020,7860,4408,2032,1817,450349.46875,ok
16,9,4,3,16,8,2,512,7994,4429,2044,1882,6046,3572,1710,1557,60883.28515625,ok
16,9,4,3,16,4,4,512,8050,4457,2044,1882,6651,3820,1790,1625,116679.203125,ok
16,9,4,3,16,2,8,512,8136,4497,2064,1882,7128,4020,1867,1687,230251.8125,ok
16,9,4,3,8,4,2,512,7666,4241,1948,2138,5837,3446,1647,1511,59445.25390625,ok
16,9,4,3,8,2,4,512,7688,4241,1946,2138,6480,3719,1744,1592,115599.75,ok
16,9,5,2,64,32,2,512,18598,9673,4528,2086,8664,4951,2698,1423,73735.1015625,ok
16,9,5,2,64,16,4,512,12216,6845,3830,1886,8055,4623,2650,1433,128972.28125,ok
16,9,5,2,64,8,8,512,10106,5625,3188,1670,8257,4665,2656,1433,239107.515625,ok
16,9,5,2,64,4,16,512,10354,5753,3252,1718,8658,4860,2761,1473,463589.0625,ok
16,9,5,2,64,2,32,512,10824,6033,3404,1726,9021,5046,2849,1503,911761.125,ok
16,9,5,2,32,16,2,512,9728,5421,3028,1718,6503,3851,2241,1251,65323.83203125,ok
