timestamp,label,gpu_mb,target_5gb_mb
06:28:13.154,s24_7_1_b128_mb32,10916,810
06:28:13.656,s24_7_1_b128_mb32,11302,810
06:28:14.157,s24_7_1_b128_mb32,11302,810
06:28:14.659,s24_7_1_b128_mb32,11302,810
06:28:15.161,s24_7_1_b128_mb32,11688,810
06:28:15.662,s24_7_1_b128_mb32,11688,810
06:28:16.164,s24_7_1_b128_mb32,11688,810
06:28:16.666,s24_7_1_b128_mb32,12074,810
06:28:17.168,s24_7_1_b128_mb32,12074,810
06:28:17.669,s24_7_1_b128_mb32,12374,810
06:28:18.171,s24_7_1_b128_mb32,12460,810
06:28:18.674,s24_7_1_b128_mb32,12460,810
06:28:19.175,s24_7_1_b128_mb32,12846,810
06:28:19.677,s24_7_1_b128_mb32,12846,810
06:28:20.179,s24_7_1_b128_mb32,12846,810
06:28:20.681,s24_7_1_b128_mb32,13232,810
06:28:21.182,s24_7_1_b128_mb32,13232,810
06:28:21.684,s24_7_1_b128_mb32,13232,810
06:28:22.186,s24_7_1_b128_mb32,13618,810
06:28:22.687,s24_7_1_b128_mb32,13618,810
06:28:23.189,s24_7_1_b128_mb32,13618,810
06:28:23.691,s24_7_1_b128_mb32,13618,810
06:28:24.193,s24_7_1_b128_mb32,13618,810
06:28:24.695,s24_7_1_b128_mb32,13618,810
06:28:25.196,s24_7_1_b128_mb32,13618,810
06:28:25.698,s24_7_1_b128_mb32,13618,810
06:28:26.200,s24_7_1_b128_mb32,13618,810
06:28:26.702,s24_7_1_b128_mb32,13618,810
06:28:27.203,s24_7_1_b128_mb32,13618,810
06:28:27.705,s24_7_1_b128_mb32,13618,810
06:28:28.207,s24_7_1_b128_mb32,13618,810
06:28:28.709,s24_7_1_b128_mb32,13618,810
06:28:29.210,s24_7_1_b128_mb32,13618,810
06:28:29.712,s24_7_1_b128_mb32,13618,810
06:28:30.214,s24_7_1_b128_mb32,13842,874
06:28:30.715,s24_7_1_b128_mb32,16098,874
06:28:31.217,s24_7_1_b128_mb32,18210,874
06:28:31.719,s24_7_1_b128_mb32,18854,874
06:28:32.220,s24_7_1_b128_mb32,19612,874
06:28:32.722,s24_7_1_b128_mb32,20010,1254
06:28:33.224,s24_7_1_b128_mb32,20074,1260
06:28:33.725,s24_7_1_b128_mb32,20074,1260
06:28:34.227,s24_7_1_b128_mb32,20074,1260
06:28:34.729,s24_7_1_b128_mb32,20074,1260
06:28:35.231,s24_7_1_b128_mb32,20074,1260
06:28:35.732,s24_7_1_b128_mb32,20074,1260
06:28:36.234,s24_7_1_b128_mb32,20074,1260
06:28:36.736,s24_7_1_b128_mb32,20074,1260
06:28:37.237,s24_7_1_b128_mb32,20074,1260
06:28:37.739,s24_7_1_b128_mb32,22908,1262
06:28:38.241,s24_7_1_b128_mb32,22908,1262
06:28:38.742,s24_7_1_b128_mb32,22908,1262
06:28:39.244,s24_7_1_b128_mb32,25950,1262
06:28:39.746,s24_7_1_b128_mb32,25976,1262
06:28:40.247,s24_7_1_b128_mb32,25976,1262
06:28:40.749,s24_7_1_b128_mb32,24376,1262
06:28:41.251,s24_7_1_b128_mb32,26056,1262
06:28:41.753,s24_7_1_b128_mb32,26056,1262
06:28:42.254,s24_7_1_b128_mb32,26084,1290
06:28:42.756,s24_7_1_b128_mb32,26604,1290
06:28:43.258,s24_7_1_b128_mb32,26604,1290
06:28:43.759,s24_7_1_b128_mb32,26604,1290
06:28:44.261,s24_7_1_b128_mb32,27162,1290
06:28:44.763,s24_7_1_b128_mb32,27578,1290
06:28:45.264,s24_7_1_b128_mb32,27578,1290
06:28:45.766,s24_7_1_b128_mb32,27578,1290
06:28:46.268,s24_7_1_b128_mb32,29316,1392
06:28:46.769,s24_7_1_b128_mb32,29316,1426
06:28:47.271,s24_7_1_b128_mb32,29316,1426
06:28:47.773,s24_7_1_b128_mb32,30030,1570
06:28:48.274,s24_7_1_b128_mb32,26838,1570
06:28:48.776,s24_7_1_b128_mb32,26838,1570
06:28:49.278,s24_7_1_b128_mb32,26838,1570
06:28:49.780,s24_7_1_b128_mb32,25866,1722
06:28:50.281,s24_7_1_b128_mb32,27158,1722
06:28:50.783,s24_7_1_b128_mb32,27158,1722
06:28:51.285,s24_7_1_b128_mb32,27158,1722
06:28:51.786,s24_7_1_b128_mb32,28162,1922
06:28:52.288,s24_7_1_b128_mb32,28242,1922
06:28:52.790,s24_7_1_b128_mb32,28242,1922
06:28:53.291,s24_7_1_b128_mb32,28242,2048
06:28:53.793,s24_7_1_b128_mb32,29854,2132
06:28:54.295,s24_7_1_b128_mb32,29938,2132
06:28:54.796,s24_7_1_b128_mb32,29938,2132
06:28:55.298,s24_7_1_b128_mb32,29938,2176
06:28:55.800,s24_7_1_b128_mb32,27790,2308
06:28:56.302,s24_7_1_b128_mb32,27834,2308
06:28:56.803,s24_7_1_b128_mb32,27834,2308
06:28:57.305,s24_7_1_b128_mb32,27834,2308
06:28:57.807,s24_7_1_b128_mb32,29408,2722
06:28:58.308,s24_7_1_b128_mb32,29914,2722
06:28:58.810,s24_7_1_b128_mb32,29914,2722
06:28:59.312,s24_7_1_b128_mb32,29914,2722
06:28:59.813,s24_7_1_b128_mb32,30804,3106
06:29:00.315,s24_7_1_b128_mb32,29284,3154
06:29:00.817,s24_7_1_b128_mb32,29284,3154
06:29:01.318,s24_7_1_b128_mb32,29284,3154
06:29:01.820,s24_7_1_b128_mb32,29300,3154
06:29:02.322,s24_7_1_b128_mb32,33016,3604
06:29:02.823,s24_7_1_b128_mb32,33116,3604
06:29:03.325,s24_7_1_b128_mb32,33116,3604
06:29:03.827,s24_7_1_b128_mb32,33116,3604
06:29:04.328,s24_7_1_b128_mb32,33114,3604
06:29:04.830,s24_7_1_b128_mb32,30732,4072
06:29:05.332,s24_7_1_b128_mb32,32710,4072
06:29:05.834,s24_7_1_b128_mb32,32710,4072
06:29:06.335,s24_7_1_b128_mb32,32710,4072
06:29:06.837,s24_7_1_b128_mb32,32688,4072
06:29:07.338,s24_7_1_b128_mb32,32688,4072
06:29:07.841,s24_7_1_b128_mb32,32688,4072
